"Fecha","contactos_mensajes","seguidores","alcance","clic_en_enlace","interacciones","visitas"
"22/08/2024",1,2,35,0,2,8
"23/08/2024",2,2,84,0,2,3
"24/08/2024",3,0,51,0,1,4
"25/08/2024",0,0,10,0,0,3
"26/08/2024",1,0,15,0,1,1
"27/08/2024",1,3,65,0,0,7
"28/08/2024",0,0,24,0,0,6
"29/08/2024",1,0,43,0,0,1
"30/08/2024",1,2,161,0,37,9
"31/08/2024",1,2,188,0,13,6
"1/09/2024",1,2,46,0,4,4
"2/09/2024",2,0,87,0,2,2
"3/09/2024",1,2,111,0,3,18
"4/09/2024",0,4,32,0,1,10
"5/09/2024",0,3,71,0,0,5
"6/09/2024",0,0,296,0,0,3
"7/09/2024",5,1,122,0,7,6
"8/09/2024",0,5,179,0,0,11
"9/09/2024",2,1,71,0,1,8
"10/09/2024",0,0,52,0,0,1
"11/09/2024",1,1,16,0,0,9
"12/09/2024",0,0,116,0,2,3
"13/09/2024",0,1,58,0,0,4
"14/09/2024",1,3,176,0,1,15
"15/09/2024",0,1,88,0,3,8
"16/09/2024",0,0,5,0,0,4
"17/09/2024",1,1,36,0,1,3
"18/09/2024",0,0,53,0,0,4
"19/09/2024",0,0,20,0,0,7
"20/09/2024",1,0,44,0,0,5
"21/09/2024",1,0,309,0,16,3
"22/09/2024",0,1,163,0,5,3
"23/09/2024",0,3,24,0,3,7
"24/09/2024",7,4,524,0,33,21
"25/09/2024",1,1,347,0,9,5
"26/09/2024",0,2,269,0,5,5
"27/09/2024",0,2,110,0,4,3
"28/09/2024",2,0,438,0,2,5
"29/09/2024",0,1,235,0,0,3
"30/09/2024",3,1,807,0,22,15
"1/10/2024",0,3,262,0,4,10
"2/10/2024",2,0,258,0,22,8
"3/10/2024",0,1,588,0,20,10
"4/10/2024",0,0,107,0,6,7
"5/10/2024",0,2,61,0,0,4
"6/10/2024",0,1,231,0,4,8
"7/10/2024",0,2,86,0,2,3
"8/10/2024",0,0,15,0,0,1
"9/10/2024",0,0,32,0,2,6
"10/10/2024",0,0,25,0,3,0
"11/10/2024",1,1,26,0,0,6
"12/10/2024",0,1,107,0,1,8
"13/10/2024",0,2,30,0,2,1
"14/10/2024",0,1,19,0,0,10
"15/10/2024",1,3,82,0,0,10
"16/10/2024",0,0,94,0,0,2
"17/10/2024",0,2,20,0,0,4
"18/10/2024",0,1,12,0,1,0
"19/10/2024",0,0,214,0,1,0
"20/10/2024",2,2,338,0,1,4
"21/10/2024",0,2,449,0,2,7
"22/10/2024",0,0,118,0,0,4
"23/10/2024",0,0,14,0,0,2
"24/10/2024",1,2,52,0,0,7
"25/10/2024",0,2,49,0,0,2
"26/10/2024",1,0,30,0,0,5
"27/10/2024",0,1,19,0,4,4
"28/10/2024",2,0,419,0,40,10
"29/10/2024",0,1,486,0,14,11
"30/10/2024",0,0,144,0,3,6
"31/10/2024",1,1,330,0,5,6
"1/11/2024",2,0,177,0,1,3
"2/11/2024",1,1,111,0,1,3
"3/11/2024",0,1,110,0,0,2
"4/11/2024",1,1,331,21,9,33
"5/11/2024",0,0,8,0,0,12
"6/11/2024",0,2,16,0,2,5
"7/11/2024",1,3,707,0,98,13
"8/11/2024",0,0,196,0,12,3
"9/11/2024",0,2,25,0,1,0
